Series ID,Region Name,Region Code,01-06-2023
ALAUTA1URN,"Autauga County, AL",1001,2.3
ALBALD0URN,"Baldwin County, AL",1003,2.3
ALBARB5URN,"Barbour County, AL",1005,5
ALBIBB7URN,"Bibb County, AL",1007,2.9
ALBLOU9URN,"Blount County, AL",1009,2.3
ALBULL1URN,"Bullock County, AL",1011,2.7
ALBUTL3URN,"Butler County, AL",1013,3.2
ALCALH5URN,"Calhoun County, AL",1015,3
ALCHAM7URN,"Chambers County, AL",1017,2.6
ALCHER9URN,"Cherokee County, AL",1019,2.5
ALCHIL1URN,"Chilton County, AL",1021,2.5
ALCHOC3URN,"Choctaw County, AL",1023,4.3
ALCLAR5URN,"Clarke County, AL",1025,5.2
ALCLAY7URN,"Clay County, AL",1027,2.5
ALCLEB9URN,"Cleburne County, AL",1029,2.4
ALCOFF1URN,"Coffee County, AL",1031,2.7
ALCOLB0URN,"Colbert County, AL",1033,3.1
ALCONE5URN,"Conecuh County, AL",1035,3.9
ALCOOS7URN,"Coosa County, AL",1037,2.8
ALCOVI9URN,"Covington County, AL",1039,3
ALCREN1URN,"Crenshaw County, AL",1041,2.8
ALCULL0URN,"Cullman County, AL",1043,2.2
ALDALE5URN,"Dale County, AL",1045,2.7
ALDALL0URN,"Dallas County, AL",1047,5.7
ALDEKA7URN,"De Kalb County, AL",1049,2.5
ALELMO1URN,"Elmore County, AL",1051,2.3
ALESCA3URN,"Escambia County, AL",1053,3.2
ALETOW1URN,"Etowah County, AL",1055,3
ALFAYE7URN,"Fayette County, AL",1057,2.7
ALFRAN9URN,"Franklin County, AL",1059,2.8
ALGENE1URN,"Geneva County, AL",1061,2.7
ALGREE3URN,"Greene County, AL",1063,5
ALHALE5URN,"Hale County, AL",1065,3.7
ALHENR7URN,"Henry County, AL",1067,2.9
ALHOUS5URN,"Houston County, AL",1069,2.7
ALJACK7URN,"Jackson County, AL",1071,2.7
ALJEFF5URN,"Jefferson County, AL",1073,2.6
ALLAMA5URN,"Lamar County, AL",1075,3.2
ALLAUD0URN,"Lauderdale County, AL",1077,2.8
ALLAWR9URN,"Lawrence County, AL",1079,2.4
